sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,qty,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,additional_images,related_skus,configurable_variations,additional_attributes
OC-10-2BARBLNG-1BALI-0299,,Default,simple,"Default Category/Rattan Sunloungers",base,"2 Barbados Loungers and 1 Bali Side Table","2 Rattan Fixed position Sunloungers
	Bali Side Table
	10cm thick Cushion with tie straps
	Additional removable head cushion
	Removable washable cushion cover
	Colour fast to chlorine for use in...",,,1,"Taxable Goods","Not Visible Individually",719.00,,,,2-barbados-loungers-and-1-bali-side-table-1,"2 Barbados Loungers and 1 Bali Side Table","2 Barbados Loungers and 1 Bali Side Table","2 Barbados Loungers and 1 Bali Side Table","2017-04-14 12:16:15","2017-04-14 12:16:15",10,/oc-10-2barblng-1bali-0299.jpg,"2-barbados-loungers-and-1-bali-side-table imagen",/oc-10-2barblng-1bali-0299.jpg,"2-barbados-loungers-and-1-bali-side-table imagen",/oc-10-2barblng-1bali-0299.jpg,"2-barbados-loungers-and-1-bali-side-table imagen",/oc-10-2barblng-1bali-0299.jpg,"2-barbados-loungers-and-1-bali-side-table imagen",,,,color=BLACK
OC-10-2BARBLNG-1BALI-0399,,Default,simple,"Default Category/Rattan Sunloungers",base,"2 Barbados Loungers and 1 Bali Side Table","2 Rattan Fixed position Sunloungers
	Bali Side Table
	10cm thick Cushion with tie straps
	Additional removable head cushion
	Removable washable cushion cover
	Colour fast to chlorine for use in...",,,1,"Taxable Goods","Not Visible Individually",719.00,,,,2-barbados-loungers-and-1-bali-side-table-2,"2 Barbados Loungers and 1 Bali Side Table","2 Barbados Loungers and 1 Bali Side Table","2 Barbados Loungers and 1 Bali Side Table","2017-04-14 12:16:15","2017-04-14 12:16:15",10,/oc-10-2barblng-1bali-0399.jpg,"2-barbados-loungers-and-1-bali-side-table imagen",/oc-10-2barblng-1bali-0399.jpg,"2-barbados-loungers-and-1-bali-side-table imagen",/oc-10-2barblng-1bali-0399.jpg,"2-barbados-loungers-and-1-bali-side-table imagen",/oc-10-2barblng-1bali-0399.jpg,"2-barbados-loungers-and-1-bali-side-table imagen",,,,color=COFFEE
OC-10-2BARBLNG-1BALI-D499,,Default,simple,"Default Category/Rattan Sunloungers",base,"2 Barbados Loungers and 1 Bali Side Table","2 Rattan Fixed position Sunloungers
	Bali Side Table
	10cm thick Cushion with tie straps
	Additional removable head cushion
	Removable washable cushion cover
	Colour fast to chlorine for use in...",,,1,"Taxable Goods","Not Visible Individually",719.00,,,,2-barbados-loungers-and-1-bali-side-table-3,"2 Barbados Loungers and 1 Bali Side Table","2 Barbados Loungers and 1 Bali Side Table","2 Barbados Loungers and 1 Bali Side Table","2017-04-14 12:16:15","2017-04-14 12:16:15",10,/oc-10-2barblng-1bali-d499.jpg,"2-barbados-loungers-and-1-bali-side-table imagen",/oc-10-2barblng-1bali-d499.jpg,"2-barbados-loungers-and-1-bali-side-table imagen",/oc-10-2barblng-1bali-d499.jpg,"2-barbados-loungers-and-1-bali-side-table imagen",/oc-10-2barblng-1bali-d499.jpg,"2-barbados-loungers-and-1-bali-side-table imagen",,,,color=MOCHA
OC-10-2BARBLNG-1BALI-D599,,Default,simple,"Default Category/Rattan Sunloungers",base,"2 Barbados Loungers and 1 Bali Side Table","2 Rattan Fixed position Sunloungers
	Bali Side Table
	10cm thick Cushion with tie straps
	Additional removable head cushion
	Removable washable cushion cover
	Colour fast to chlorine for use in...",,,1,"Taxable Goods","Not Visible Individually",719.00,,,,2-barbados-loungers-and-1-bali-side-table-4,"2 Barbados Loungers and 1 Bali Side Table","2 Barbados Loungers and 1 Bali Side Table","2 Barbados Loungers and 1 Bali Side Table","2017-04-14 12:16:15","2017-04-14 12:16:15",10,/oc-10-2barblng-1bali-d599.jpg,"2-barbados-loungers-and-1-bali-side-table imagen",/oc-10-2barblng-1bali-d599.jpg,"2-barbados-loungers-and-1-bali-side-table imagen",/oc-10-2barblng-1bali-d599.jpg,"2-barbados-loungers-and-1-bali-side-table imagen",/oc-10-2barblng-1bali-d599.jpg,"2-barbados-loungers-and-1-bali-side-table imagen",,,,color=LATTE
OC-10-2BARBLNG-1BALI-D599-G,,Default,configurable,"Default Category/Rattan Sunloungers",base,"2 Barbados Loungers and 1 Bali Side Table","2 Rattan Fixed position Sunloungers
	Bali Side Table
	10cm thick Cushion with tie straps
	Additional removable head cushion
	Removable washable cushion cover
	Colour fast to chlorine for use in...",,,1,"Taxable Goods","Catalog, Search",,,,,2-barbados-loungers-and-1-bali-side-table-grouped,"2 Barbados Loungers and 1 Bali Side Table","2 Barbados Loungers and 1 Bali Side Table","2 Barbados Loungers and 1 Bali Side Table","2017-04-14 12:16:15","2017-04-14 12:16:15",,/oc-10-2barblng-1bali-d599.jpg,"2-barbados-loungers-and-1-bali-side-table imagen",/oc-10-2barblng-1bali-d599.jpg,"2-barbados-loungers-and-1-bali-side-table imagen",/oc-10-2barblng-1bali-d599.jpg,"2-barbados-loungers-and-1-bali-side-table imagen",,,,,"sku=OC-10-2BARBLNG-1BALI-0299,color=BLACK|sku=OC-10-2BARBLNG-1BALI-0399,color=COFFEE|sku=OC-10-2BARBLNG-1BALI-D499,color=MOCHA|sku=OC-10-2BARBLNG-1BALI-D599,color=LATTE",
OC-10-2CARIB-1BALI-0299,,Default,simple,"Default Category/Rattan Sunloungers",base,"2 Caribbean Loungers & 1 Bali Side Table","2 Rattan adjustable Sunloungers
	Bali Side Table
	10cm thick Cushion with tie straps
	Removable washable cushion cover
	Colour fast to chlorine for use in Spas and by pools
	Fully fitted...",,,1,"Taxable Goods","Not Visible Individually",999.00,,,,2-caribbean-loungers-1-bali-side-table-1,"2 Caribbean Loungers & 1 Bali Side Table","2 Caribbean Loungers & 1 Bali Side Table","2 Caribbean Loungers & 1 Bali Side Table","2017-04-14 12:16:15","2017-04-14 12:16:15",10,/oc-10-2carib-1bali-0299.jpg,"2-caribbean-loungers-1-bali-side-table imagen",/oc-10-2carib-1bali-0299.jpg,"2-caribbean-loungers-1-bali-side-table imagen",/oc-10-2carib-1bali-0299.jpg,"2-caribbean-loungers-1-bali-side-table imagen",/oc-10-2carib-1bali-0299.jpg,"2-caribbean-loungers-1-bali-side-table imagen",,,,color=BLACK
OC-10-2CARIB-1BALI-0399,,Default,simple,"Default Category/Rattan Sunloungers",base,"2 Caribbean Loungers & 1 Bali Side Table","2 Rattan adjustable Sunloungers
	Bali Side Table
	10cm thick Cushion with tie straps
	Removable washable cushion cover
	Colour fast to chlorine for use in Spas and by pools
	Fully fitted...",,,1,"Taxable Goods","Not Visible Individually",999.00,,,,2-caribbean-loungers-1-bali-side-table-2,"2 Caribbean Loungers & 1 Bali Side Table","2 Caribbean Loungers & 1 Bali Side Table","2 Caribbean Loungers & 1 Bali Side Table","2017-04-14 12:16:15","2017-04-14 12:16:15",10,/oc-10-2carib-1bali-0399.jpg,"2-caribbean-loungers-1-bali-side-table imagen",/oc-10-2carib-1bali-0399.jpg,"2-caribbean-loungers-1-bali-side-table imagen",/oc-10-2carib-1bali-0399.jpg,"2-caribbean-loungers-1-bali-side-table imagen",/oc-10-2carib-1bali-0399.jpg,"2-caribbean-loungers-1-bali-side-table imagen",,,,color=COFFEE
OC-10-2CARIB-1BALI-D499,,Default,simple,"Default Category/Rattan Sunloungers",base,"2 Caribbean Loungers & 1 Bali Side Table","2 Rattan adjustable Sunloungers
	Bali Side Table
	10cm thick Cushion with tie straps
	Removable washable cushion cover
	Colour fast to chlorine for use in Spas and by pools
	Fully fitted...",,,1,"Taxable Goods","Not Visible Individually",999.00,,,,2-caribbean-loungers-1-bali-side-table-3,"2 Caribbean Loungers & 1 Bali Side Table","2 Caribbean Loungers & 1 Bali Side Table","2 Caribbean Loungers & 1 Bali Side Table","2017-04-14 12:16:15","2017-04-14 12:16:15",10,/oc-10-2carib-1bali-d499.jpg,"2-caribbean-loungers-1-bali-side-table imagen",/oc-10-2carib-1bali-d499.jpg,"2-caribbean-loungers-1-bali-side-table imagen",/oc-10-2carib-1bali-d499.jpg,"2-caribbean-loungers-1-bali-side-table imagen",/oc-10-2carib-1bali-d499.jpg,"2-caribbean-loungers-1-bali-side-table imagen",,,,color=MOCHA
OC-10-2CARIB-1BALI-D599,,Default,simple,"Default Category/Rattan Sunloungers",base,"2 Caribbean Loungers & 1 Bali Side Table","2 Rattan adjustable Sunloungers
	Bali Side Table
	10cm thick Cushion with tie straps
	Removable washable cushion cover
	Colour fast to chlorine for use in Spas and by pools
	Fully fitted...",,,1,"Taxable Goods","Not Visible Individually",999.00,,,,2-caribbean-loungers-1-bali-side-table-4,"2 Caribbean Loungers & 1 Bali Side Table","2 Caribbean Loungers & 1 Bali Side Table","2 Caribbean Loungers & 1 Bali Side Table","2017-04-14 12:16:15","2017-04-14 12:16:15",10,/oc-10-2carib-1bali-d599.jpg,"2-caribbean-loungers-1-bali-side-table imagen",/oc-10-2carib-1bali-d599.jpg,"2-caribbean-loungers-1-bali-side-table imagen",/oc-10-2carib-1bali-d599.jpg,"2-caribbean-loungers-1-bali-side-table imagen",/oc-10-2carib-1bali-d599.jpg,"2-caribbean-loungers-1-bali-side-table imagen",,,,color=LATTE
OC-10-2CARIB-1BALI-D599-G,,Default,configurable,"Default Category/Rattan Sunloungers",base,"2 Caribbean Loungers & 1 Bali Side Table","2 Rattan adjustable Sunloungers
	Bali Side Table
	10cm thick Cushion with tie straps
	Removable washable cushion cover
	Colour fast to chlorine for use in Spas and by pools
	Fully fitted...",,,1,"Taxable Goods","Catalog, Search",,,,,2-caribbean-loungers-1-bali-side-table-grouped,"2 Caribbean Loungers & 1 Bali Side Table","2 Caribbean Loungers & 1 Bali Side Table","2 Caribbean Loungers & 1 Bali Side Table","2017-04-14 12:16:15","2017-04-14 12:16:15",,/oc-10-2carib-1bali-d599.jpg,"2-caribbean-loungers-1-bali-side-table imagen",/oc-10-2carib-1bali-d599.jpg,"2-caribbean-loungers-1-bali-side-table imagen",/oc-10-2carib-1bali-d599.jpg,"2-caribbean-loungers-1-bali-side-table imagen",,,,,"sku=OC-10-2CARIB-1BALI-0299,color=BLACK|sku=OC-10-2CARIB-1BALI-0399,color=COFFEE|sku=OC-10-2CARIB-1BALI-D499,color=MOCHA|sku=OC-10-2CARIB-1BALI-D599,color=LATTE",
OC-10-PARA-PAC-BLK,,Default,simple,"Default Category/Parasols",base,"3.5m Round Pacific Garden Parasol","This 3.5 meter tilting parasol is the ideal way to shade you and your guests from the sun with its easy to operate 360 degree rotation and tilt facility and unlike any other parasol it comes with...",,,1,"Taxable Goods","Not Visible Individually",849.00,,,,35m-round-pacific-garden-parasol-1,"3.5m Round Pacific Garden Parasol","3.5m Round Pacific Garden Parasol","3.5m Round Pacific Garden Parasol","2017-04-14 12:16:15","2017-04-14 12:16:15",10,/oc-10-para-pac-blk.jpg,"35m-round-pacific-garden-parasol imagen",/oc-10-para-pac-blk.jpg,"35m-round-pacific-garden-parasol imagen",/oc-10-para-pac-blk.jpg,"35m-round-pacific-garden-parasol imagen",/oc-10-para-pac-blk.jpg,"35m-round-pacific-garden-parasol imagen",,,,color=BLACK
